0, 1.4, 11
0, 0.42, 53
59, 0.33, 84
61, 0.46, 97
62, 0.09, 96
63, 0.05, 89
62, 0.23, 80
63, 0.32, 76
62, 0.46, 111
64, 0.51, 114
66, 0.56, 45
0, 0.28, 74
65, 0.51, 111
67, 0.46, 95
68, 0.42, 39
69, 0.05, 0
0, 0.42, 51
56, 0.42, 90
58, 0.37, 81
60, 0.51, 31
0, 0.37, 56
67, 0.37, 102
69, 0.51, 85
70, 0.09, 59
71, 0.32, 5
0, 0.42, 45
54, 0.33, 89
56, 0.51, 85
58, 0.42, 27
0, 0.42, 66
65, 0.37, 104
67, 0.42, 90
69, 0.28, 64
68, 0.19, 5
0, 0.37, 51
52, 0.33, 84
54, 0.42, 83
56, 0.42, 36
0, 0.46, 56
63, 0.42, 118
65, 0.51, 107
66, 0.46, 79
67, 0.42, 14
0, 2.4, 10
62, 0.37, 113
64, 0.37, 116
66, 0.84, 76
51, 0.42, 93
53, 0.42, 91
55, 0.74, 67
61, 0.42, 101
63, 0.37, 111
65, 0.74, 73
48, 0.42, 74
50, 0.46, 80
52, 0.42, 32
0, 0.6, 41
66, 0.37, 105
68, 0.37, 95
69, 0.65, 71
53, 0.42, 90
55, 0.37, 84
57, 0.65, 56
0, 0.14, 97
67, 0.37, 102
69, 0.42, 93
71, 0.7, 34
0, 2.0, 13
62, 0.33, 120
64, 0.42, 120
66, 0.74, 71
61, 0.42, 100
63, 0.37, 108
65, 0.74, 71
64, 0.46, 113
66, 0.46, 101
68, 0.51, 15
0, 0.23, 79
58, 0.37, 80
60, 0.33, 90
62, 0.56, 74
57, 0.37, 83
59, 0.37, 85
61, 0.56, 56
56, 0.46, 80
58, 0.33, 80
60, 0.33, 88
62, 0.33, 111
64, 0.46, 114
66, 0.46, 36
0, 0.42, 64
63, 0.28, 116
65, 0.46, 105
67, 0.42, 47
0, 0.05, 100
61, 0.37, 103
63, 0.42, 111
65, 0.51, 71
64, 0.37, 114
66, 0.42, 101
68, 0.28, 20
0, 0.51, 59
69, 0.33, 109
71, 0.37, 91
73, 0.56, 26
0, 0.14, 114
68, 0.42, 97
70, 0.28, 97
72, 0.6, 26
0, 0.46, 45
67, 0.33, 100
69, 0.46, 66
71, 0.19, 73
65, 0.46, 106
67, 0.37, 95
69, 0.51, 47
63, 0.37, 112
65, 0.42, 100
67, 0.42, 22
0, 0.09, 87
62, 0.37, 106
64, 0.37, 105
66, 0.37, 26
0, 0.42, 58
61, 0.28, 100
63, 0.37, 104
65, 0.42, 53
59, 0.33, 73
61, 0.37, 89
63, 0.37, 16
0, 0.42, 52
57, 0.28, 88
59, 0.37, 80
61, 0.51, 55
56, 0.42, 81
58, 0.32, 76
60, 0.33, 74
55, 0.33, 87
57, 0.42, 72
59, 0.33, 15
0, 2.9, 9
54, 0.28, 93
56, 0.42, 84
58, 0.37, 25
0, 0.56, 41
59, 0.28, 89
61, 0.37, 106
63, 0.42, 33
0, 0.33, 70
52, 0.28, 91
54, 0.33, 80
56, 0.42, 60
58, 0.37, 78
60, 0.28, 97
62, 0.6, 33
0, 0.37, 67
53, 0.28, 79
55, 0.28, 85
57, 0.46, 62
59, 0.33, 85
61, 0.42, 105
62, 0.33, 72
63, 0.28, 0
0, 0.42, 48
60, 0.33, 108
62, 0.42, 110
63, 0.05, 102
64, 0.05, 99
63, 0.05, 92
64, 0.14, 33
63, 0.05, 13
64, 0.19, 72
53, 0.33, 72
55, 0.33, 75
57, 0.46, 48
59, 0.33, 83
61, 0.37, 98
62, 0.19, 89
63, 0.37, 20
0, 0.56, 47
65, 0.33, 105
67, 0.33, 98
69, 0.46, 34
0, 0.28, 102
63, 0.28, 114
65, 0.28, 92
66, 0.51, 38
0, 0.65, 45
66, 0.37, 103
67, 0.28, 96
69, 0.42, 24
0, 0.19, 81
61, 0.42, 108
63, 0.46, 110
65, 0.65, 59
0, 0.56, 41
64, 0.33, 116
66, 0.32, 113
67, 0.7, 87
68, 0.19, 75
69, 0.37, 9
0, 0.28, 84
62, 0.23, 111
64, 0.42, 111
66, 0.05, 109
65, 0.05, 108
66, 0.93, 94
67, 0.37, 0
0, 1.2, 19
59, 0.28, 93
61, 0.37, 95
63, 0.6, 52
0, 0.05, 65
50, 0.33, 82
52, 0.33, 90
54, 0.56, 46
53, 0.46, 80
55, 0.23, 91
57, 0.56, 56
56, 0.33, 84
58, 0.37, 85
60, 0.56, 62
59, 0.32, 81
61, 0.33, 98
63, 0.33, 11
0, 0.46, 64
60, 0.14, 112
62, 0.37, 112
63, 0.05, 106
64, 0.46, 70
63, 0.37, 113
65, 0.33, 101
66, 1.0, 78
67, 0.19, 106
69, 0.28, 27
0, 0.51, 55
69, 0.33, 111
71, 0.28, 100
73, 1.8, 73
0, 0.6, 49
63, 0.28, 120
65, 0.37, 111
66, 0.98, 95
67, 0.51, 30
0, 0.56, 47
61, 0.28, 108
63, 0.37, 111
64, 0.09, 106
65, 0.14, 111
64, 0.6, 105
65, 0.79, 62
0, 0.42, 45
55, 0.28, 88
57, 0.46, 87
58, 1.2, 74
59, 0.28, 5
0, 0.51, 45
52, 0.28, 90
54, 0.33, 88
56, 1.3, 55
0, 0.6, 46
51, 0.28, 101
53, 0.32, 81
55, 1.0, 46
0, 0.79, 23
56, 0.32, 86
58, 0.33, 83
60, 1.0, 47
0, 0.79, 29
60, 0.28, 105
62, 0.37, 111
64, 0.23, 110
63, 0.09, 106
64, 0.79, 66
0, 0.51, 45
52, 0.28, 95
54, 0.33, 90
56, 1.2, 52
0, 0.51, 44
55, 0.23, 90
57, 0.42, 85
58, 0.09, 74
59, 0.05, 76
58, 0.79, 70
59, 0.33, 9
0, 0.65, 34
50, 0.23, 94
52, 0.33, 96
54, 1.4, 67
0, 0.79, 41
48, 0.05, 89
50, 0.42, 95
52, 1.4, 65
0, 0.51, 49
49, 0.28, 86
51, 0.37, 94
53, 0.93, 86
54, 0.33, 86
56, 0.37, 81
58, 0.56, 36
0, 0.46, 52
55, 0.28, 93
57, 0.46, 85
58, 0.09, 74
59, 0.05, 74
58, 0.19, 57
59, 0.28, 56
51, 0.42, 93
53, 0.37, 84
55, 0.42, 21
0, 0.46, 51
46, 0.33, 89
47, 0.23, 88
48, 0.42, 84
51, 0.37, 75
52, 0.37, 80
54, 0.37, 76
56, 0.56, 34
0, 0.51, 42
57, 0.33, 84
59, 0.33, 81
61, 0.37, 65
53, 0.42, 74
55, 0.33, 65
57, 0.6, 44
0, 0.51, 38
58, 0.37, 86
60, 0.32, 96
62, 0.33, 77
54, 0.42, 68
56, 0.42, 55
58, 0.74, 46
0, 0.92, 14
53, 0.6, 73
57, 0.56, 69
60, 0.84, 44
53, 0.46, 67
57, 0.51, 68
60, 0.65, 54
53, 0.46, 67
57, 0.51, 66
60, 1.2, 43
0, 1.1, 12
55, 0.42, 67
59, 0.51, 65
62, 0.7, 30
55, 0.42, 64
59, 0.42, 67
62, 0.6, 51
55, 0.37, 64
59, 0.42, 63
62, 0.74, 35
0, 0.98, 17
61, 0.37, 87
65, 0.56, 82
67, 0.51, 56
73, 0.05, 83
61, 0.23, 85
65, 0.6, 82
68, 0.42, 46
60, 0.51, 75
64, 0.46, 72
67, 0.56, 37
60, 0.46, 74
64, 0.46, 73
67, 0.51, 19
0, 1.1, 14
61, 0.37, 89
65, 0.46, 85
68, 0.37, 24
0, 0.6, 26
61, 0.37, 86
65, 0.46, 83
68, 0.42, 15
0, 0.65, 21
60, 0.42, 71
64, 0.46, 72
67, 0.05, 50
66, 0.05, 20
67, 0.19, 0
0, 0.74, 20
60, 0.42, 84
64, 0.42, 76
67, 0.42, 16
0, 0.65, 20
58, 0.51, 61
62, 0.42, 76
65, 0.51, 15
0, 0.37, 27
56, 0.46, 70
60, 0.42, 72
63, 0.46, 15
0, 0.51, 27
57, 0.46, 73
61, 0.42, 77
64, 0.46, 14
0, 0.51, 19
53, 0.46, 71
57, 0.46, 67
60, 0.46, 17
0, 0.46, 19
56, 0.46, 67
60, 0.46, 74
63, 0.51, 17
0, 0.46, 25
54, 0.42, 67
58, 0.51, 64
73, 0.05, 29
61, 0.42, 6
0, 0.56, 13
51, 0.51, 58
55, 0.46, 56
58, 0.56, 20
0, 3.3, 2
51, 0.46, 65
55, 0.42, 67
58, 0.56, 23
0, 1.6, 5
51, 0.42, 65
55, 0.56, 63
58, 0.42, 19
51, 0.51, 61
55, 0.42, 64
58, 0.37, 34
57, 0.51, 60
61, 0.37, 75
64, 0.79, 38
0, 0.93, 12
55, 0.51, 69
58, 0.37, 66
62, 0.51, 29
55, 0.42, 65
59, 0.46, 64
62, 0.42, 41
61, 0.42, 80
65, 0.37, 81
68, 0.79, 35
0, 1.9, 8
61, 0.37, 89
65, 0.46, 82
68, 0.46, 32
62, 0.46, 77
66, 0.42, 61
69, 0.46, 6
0, 0.14, 70
58, 0.46, 66
62, 0.42, 75
65, 0.6, 38
61, 0.33, 77
65, 0.42, 79
68, 0.46, 18
0, 0.23, 39
56, 0.42, 66
60, 0.42, 64
63, 0.42, 14
0, 0.14, 22
54, 0.42, 64
58, 0.46, 61
61, 0.42, 28
60, 0.42, 66
64, 0.37, 72
67, 0.65, 26
0, 2.5, 4
52, 0.42, 66
56, 0.51, 60
59, 0.46, 27
58, 0.56, 69
62, 0.42, 76
65, 0.65, 42
56, 0.37, 62
60, 0.51, 68
63, 0.33, 6
0, 0.23, 44
56, 0.46, 60
60, 0.46, 61
63, 0.33, 5
0, 0.28, 37
55, 0.46, 61
59, 0.37, 58
62, 0.37, 10
0, 0.46, 25
55, 0.42, 64
59, 0.42, 66
62, 0.51, 29
54, 0.42, 62
58, 0.46, 61
73, 0.05, 20
61, 0.28, 0
0, 0.56, 14
54, 0.42, 66
58, 0.56, 65
61, 0.42, 27
53, 0.42, 65
57, 0.42, 48
60, 0.42, 7
0, 0.28, 41
53, 0.37, 62
57, 0.46, 53
60, 0.51, 21
52, 0.46, 64
59, 0.42, 55
56, 0.33, 8
0, 0.74, 16
52, 0.28, 65
56, 0.46, 61
59, 0.37, 11
0, 0.56, 15
51, 0.46, 59
55, 0.37, 56
58, 0.46, 16
0, 0.46, 21
51, 0.46, 66
55, 0.37, 59
58, 0.46, 18
0, 0.84, 4
48, 0.46, 58
52, 0.37, 57
55, 0.46, 11
0, 0.42, 10
48, 0.05, 26
0, 0.05, 22
48, 0.19, 55
52, 0.42, 45
55, 0.32, 8
0, 0.7, 14
54, 0.37, 65
58, 0.51, 69
73, 0.19, 15
61, 0.05, 0
73, 0.09, 0
0, 0.6, 23
54, 0.37, 70
58, 0.46, 75
61, 0.42, 11
0, 0.37, 32
54, 0.42, 69
58, 0.46, 71
61, 0.6, 22
0, 4.0, 2
54, 0.37, 68
58, 0.46, 71
73, 0.05, 41
61, 0.42, 6
0, 0.51, 25
60, 0.33, 79
64, 0.37, 76
67, 0.6, 20
0, 0.33, 38
57, 0.42, 61
61, 0.37, 72
64, 0.42, 19
0, 0.56, 18
55, 0.37, 67
59, 0.42, 68
62, 0.74, 36
63, 0.42, 84
67, 0.46, 75
70, 0.51, 22
0, 0.84, 14
54, 0.33, 69
58, 0.51, 71
73, 0.09, 50
61, 0.42, 7
0, 0.14, 76
60, 0.42, 78
64, 0.37, 72
67, 0.6, 24
0, 1.5, 9
61, 0.37, 85
65, 0.42, 84
68, 0.46, 24
0, 0.42, 28
57, 0.65, 61
61, 0.46, 68
64, 0.79, 43
0, 3.3, 3
54, 0.42, 70
58, 0.51, 68
61, 0.46, 15
0, 0.28, 35
50, 0.37, 52
54, 0.42, 62
57, 0.65, 29
0, 0.37, 29
47, 0.42, 58
51, 0.51, 52
53, 0.09, 27
54, 0.33, 2
0, 2.0, 0
47, 0.56, 65
51, 0.46, 66
54, 0.65, 30
52, 0.46, 69
56, 0.42, 65
59, 0.65, 39
57, 0.46, 64
61, 0.42, 68
64, 0.6, 19
0, 0.6, 25
62, 0.42, 82
65, 0.37, 76
66, 0.05, 61
69, 0.51, 18
0, 0.7, 23
65, 0.42, 86
69, 0.37, 79
72, 0.37, 16
0, 0.74, 22
68, 0.33, 88
72, 0.42, 75
75, 1.5, 52
0, 2.4, 4
51, 0.46, 65
55, 0.37, 67
58, 0.7, 28
0, 0.09, 76
57, 0.51, 62
61, 0.37, 71
64, 0.65, 33
56, 0.51, 69
60, 0.46, 72
63, 0.46, 22
0, 0.46, 33
58, 0.42, 72
62, 0.42, 80
65, 0.88, 45
0, 0.28, 46
55, 0.46, 65
58, 0.33, 62
62, 0.56, 27
0, 0.56, 29
61, 0.33, 87
65, 0.46, 74
68, 0.51, 15
0, 0.19, 67
58, 0.46, 66
62, 0.33, 78
65, 0.56, 16
0, 0.46, 38
60, 0.37, 80
64, 0.42, 74
67, 0.56, 25
0, 0.37, 2
53, 0.46, 62
57, 0.42, 63
60, 0.42, 10
0, 0.56, 23
59, 0.42, 71
63, 0.37, 81
65, 0.37, 54
66, 0.28, 26
57, 0.56, 64
73, 0.28, 69
64, 0.56, 27
0, 0.51, 14
56, 0.46, 70
60, 0.42, 75
63, 0.56, 24
0, 0.56, 15
54, 0.37, 67
58, 0.46, 65
61, 0.56, 17
0, 0.51, 24
52, 0.37, 70
56, 0.46, 66
59, 0.7, 29
0, 0.05, 54
50, 0.46, 56
54, 0.33, 59
57, 0.46, 21
0, 0.98, 12
48, 0.42, 65
52, 0.51, 56
55, 0.6, 19
0, 5.0, 2
51, 0.42, 70
55, 0.42, 67
58, 0.46, 16
0, 0.46, 24
52, 0.42, 69
56, 0.46, 60
58, 0.09, 33
59, 0.23, 1
0, 0.56, 29
58, 0.46, 71
62, 0.42, 75
65, 0.7, 26
0, 0.28, 39
52, 0.42, 66
56, 0.46, 63
59, 0.42, 14
0, 0.6, 19
52, 0.37, 62
56, 0.42, 57
59, 0.51, 19
0, 0.42, 30
58, 0.46, 64
62, 0.37, 78
65, 0.84, 42
63, 0.42, 78
67, 0.42, 67
70, 0.51, 7
0, 0.51, 31
63, 0.37, 76
67, 0.46, 64
70, 0.42, 9
0, 0.6, 21
61, 0.37, 85
65, 0.46, 78
68, 0.37, 14
0, 0.6, 19
61, 0.37, 89
65, 0.42, 81
68, 0.33, 13
0, 0.56, 26
59, 0.37, 75
63, 0.42, 76
66, 0.42, 13
0, 0.51, 24
59, 0.42, 65
63, 0.46, 76
66, 0.46, 16
0, 0.46, 35
58, 0.37, 69
62, 0.42, 75
65, 0.65, 23
0, 0.33, 56
58, 0.37, 73
62, 0.46, 79
65, 0.6, 16
0, 0.28, 32
56, 0.46, 68
60, 0.46, 73
63, 0.42, 17
0, 0.51, 28
57, 0.42, 67
61, 0.42, 75
64, 0.46, 13
0, 0.42, 18
56, 0.51, 71
60, 0.42, 75
63, 0.37, 11
0, 0.6, 22
57, 0.42, 73
61, 0.42, 69
64, 0.33, 8
0, 0.6, 16
53, 0.51, 72
57, 0.46, 59
60, 0.7, 23
0, 2.8, 4
53, 0.42, 74
57, 0.46, 69
60, 0.46, 17
0, 0.46, 32
58, 0.42, 75
62, 0.46, 77
65, 0.65, 26
0, 0.42, 31
51, 0.42, 62
55, 0.42, 63
58, 0.56, 24
0, 0.42, 27
56, 0.46, 71
60, 0.51, 75
63, 0.46, 12
0, 0.65, 11
49, 0.37, 55
53, 0.46, 63
56, 0.51, 19
0, 0.51, 16
54, 0.42, 67
58, 0.56, 71
61, 0.51, 10
0, 0.46, 34
59, 0.46, 73
63, 0.42, 82
66, 0.56, 30
0, 0.42, 31
64, 0.42, 84
68, 0.42, 86
71, 0.56, 24
0, 0.51, 32
67, 0.37, 83
71, 0.42, 85
74, 0.46, 21
0, 0.51, 32
65, 0.42, 83
69, 0.37, 75
72, 0.46, 21
0, 0.74, 20
63, 0.37, 78
67, 0.42, 70
70, 0.51, 10
0, 0.51, 31
61, 0.37, 80
65, 0.46, 78
68, 0.46, 21
0, 0.6, 27
60, 0.42, 79
64, 0.42, 74
67, 0.46, 19
0, 0.51, 26
58, 0.46, 72
62, 0.46, 77
65, 0.65, 24
0, 0.33, 44
55, 0.42, 65
59, 0.42, 60
62, 0.56, 26
0, 0.51, 27
51, 0.46, 66
55, 0.46, 60
58, 0.51, 18
0, 0.7, 19
48, 0.32, 62
52, 0.51, 55
55, 0.42, 13
0, 0.6, 20
45, 0.42, 61
49, 0.46, 71
52, 0.46, 70
57, 0.6, 26
0, 2.7, 3
54, 0.37, 70
58, 0.51, 72
73, 0.09, 44
61, 0.19, 17
73, 0.05, 0
61, 0.09, 0
0, 0.51, 31
55, 0.46, 69
59, 0.28, 68
62, 0.65, 29
0, 0.37, 33
56, 0.42, 69
60, 0.46, 76
63, 0.6, 23
0, 0.37, 35
57, 0.42, 62
61, 0.51, 77
63, 0.05, 75
64, 0.46, 16
0, 0.46, 35
58, 0.42, 75
62, 0.46, 79
65, 0.65, 27
0, 0.46, 28
60, 0.46, 76
64, 0.51, 75
67, 0.56, 21
0, 0.56, 36
61, 0.05, 91
73, 0.05, 92
61, 0.14, 87
73, 0.09, 91
65, 0.56, 84
68, 0.51, 28
0, 0.56, 26
63, 0.46, 79
67, 0.46, 73
70, 0.46, 22
0, 0.51, 20
56, 0.37, 54
55, 0.09, 73
60, 0.51, 72
63, 0.51, 20
0, 0.51, 21
54, 0.42, 68
58, 0.46, 69
61, 0.56, 20
0, 0.56, 22
50, 0.46, 58
54, 0.37, 63
57, 0.51, 28
0, 0.46, 22
56, 0.56, 64
60, 0.51, 76
63, 0.46, 18
0, 0.46, 20
53, 0.51, 71
57, 0.51, 69
60, 0.6, 31
0, 0.42, 34
63, 0.42, 85
67, 0.51, 80
70, 0.46, 24
0, 0.74, 12
48, 0.37, 67
52, 0.46, 66
55, 0.51, 22
0, 0.46, 27
56, 0.46, 62
60, 0.51, 80
63, 0.56, 57
66, 0.46, 82
70, 0.37, 79
73, 0.79, 41
0, 2.5, 8
46, 0.42, 69
50, 0.42, 69
53, 0.56, 24
0, 0.46, 14
54, 0.37, 66
58, 0.56, 71
61, 0.51, 15
0, 0.46, 17
48, 0.46, 67
52, 0.46, 66
55, 0.46, 17
0, 0.46, 32
57, 0.46, 67
61, 0.46, 74
64, 0.6, 25
0, 0.51, 19
50, 0.46, 56
54, 0.42, 63
57, 0.51, 18
0, 0.56, 37
58, 0.37, 76
63, 0.51, 79
66, 0.56, 25
0, 0.51, 21
48, 0.23, 40
49, 0.14, 67
53, 0.56, 64
56, 0.46, 21
0, 0.51, 33
58, 0.42, 76
62, 0.46, 80
65, 0.7, 32
0, 0.28, 57
66, 0.42, 77
70, 0.42, 77
73, 0.56, 33
0, 0.56, 30
62, 0.37, 80
66, 0.46, 75
68, 0.42, 18
0, 0.56, 31
60, 0.42, 82
64, 0.46, 73
67, 0.51, 22
0, 1.0, 13
56, 0.46, 75
60, 0.46, 82
63, 0.51, 39
55, 0.42, 59
59, 0.46, 63
62, 0.51, 27
0, 0.42, 28
53, 0.46, 63
57, 0.46, 57
60, 0.56, 19
0, 0.46, 34
51, 0.42, 58
55, 0.51, 57
58, 0.56, 22
0, 0.46, 23
49, 0.37, 52
53, 0.51, 58
56, 0.42, 18
0, 0.05, 60
47, 0.51, 56
51, 0.51, 40
54, 0.42, 5
0, 3.6, 2
51, 0.46, 67
55, 0.42, 68
58, 0.51, 25
0, 0.7, 3
49, 0.28, 65
53, 0.46, 64
56, 0.42, 17
0, 0.51, 23
57, 0.46, 58
61, 0.42, 69
64, 0.42, 15
0, 0.65, 14
50, 0.42, 56
54, 0.42, 55
57, 0.51, 18
0, 0.56, 19
55, 0.42, 66
59, 0.46, 68
62, 0.6, 30
0, 0.51, 18
48, 0.33, 71
52, 0.56, 71
55, 0.46, 17
0, 0.46, 31
57, 0.46, 71
61, 0.42, 83
64, 0.6, 33
0, 0.37, 36
56, 0.42, 72
60, 0.46, 76
63, 0.6, 26
0, 0.42, 36
62, 0.46, 82
66, 0.46, 73
69, 0.6, 26
0, 0.46, 38
67, 0.37, 82
71, 0.46, 83
74, 0.56, 32
0, 0.42, 31
52, 0.46, 67
56, 0.46, 59
59, 0.51, 18
0, 1.3, 9
67, 0.28, 60
70, 0.56, 17
0, 0.46, 27
52, 0.42, 64
56, 0.51, 62
59, 0.37, 66
63, 0.42, 70
67, 0.51, 68
70, 0.84, 30
0, 1.0, 11
55, 0.46, 69
57, 0.51, 76
60, 0.74, 38
0, 1.5, 9
55, 0.33, 68
57, 0.37, 73
60, 1.1, 41
0, 1.1, 11
55, 0.37, 69
57, 0.37, 72
60, 2.3, 55
55, 0.46, 64
57, 0.42, 71
60, 0.84, 39
0, 1.6, 8
54, 0.33, 62
56, 0.42, 69
58, 0.84, 44
59, 0.05, 0
0, 1.5, 7
54, 0.37, 66
56, 0.37, 68
59, 0.37, 64
58, 0.42, 25
59, 0.05, 0
0, 1.5, 7
54, 0.37, 67
56, 0.42, 68
59, 1.1, 43
0, 1.3, 7
54, 0.37, 64
56, 0.42, 66
59, 0.33, 65
58, 0.46, 42
59, 0.14, 0
0, 1.3, 10
50, 0.37, 68
52, 0.37, 67
55, 0.84, 37
0, 1.5, 7
50, 0.37, 67
